project,street,type,district,segment,tenure,commence,sale,area,price,level,date
CAIRNHILL CREST,CAIRNHILL CIRCLE,Condominium,9,CCR,freehold,,Resale,818.06,1668024.34,01 to 05,Dec-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1517.72,2988390.68,06 to 10,Dec-24
THE NAUTICAL,JALAN SENDUDOK,Condominium,27,OCR,99 years,2011.0,Resale,1302.44,1449615.72,01 to 05,Dec-24
SOMMERVILLE GRANDEUR,FARRER DRIVE,Condominium,10,CCR,freehold,,Resale,1937.52,3950603.28,06 to 10,Dec-24
BARTLEY RESIDENCES,LORONG HOW SUN,Apartment,19,OCR,99 years,2011.0,Resale,1377.79,2569578.35,06 to 10,Dec-24
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,Resale,1367.03,2419643.1,11 to 15,Dec-24
THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,Condominium,4,RCR,99 years,2021.0,Sub Sale,721.19,1883027.09,06 to 10,Dec-24
BREEZY MANSIONS,SANDILANDS ROAD,Apartment,19,OCR,freehold,1886.0,Resale,1011.82,1359886.08,01 to 05,Dec-24
15 HOLLAND HILL,HOLLAND HILL,Apartment,10,CCR,freehold,,Resale,1862.17,6150747.51,06 to 10,Dec-24
NOMU,HANDY ROAD,Apartment,9,CCR,freehold,,Resale,1388.56,3454737.28,06 to 10,Dec-24
TREVISTA,LORONG 3 TOA PAYOH,Condominium,12,RCR,99 years,2008.0,Resale,1270.15,2287540.1500000004,11 to 15,Dec-24
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,Condominium,3,RCR,99 years,1992.0,Resale,1291.68,2140313.76,01 to 05,Dec-24
